###############################################################
#  Generated by:      Cadence Innovus 21.19-s058_1
#  OS:                Linux x86_64(Host ID il2225ht25_jcdavid)
#  Generated on:      Wed Dec 17 12:59:44 2025
#  Design:            drra_wrapper
#  Command:           report_timing     > ${RPT_DIR}/${TOP_NAME}_timing_${con}.txt
###############################################################
Path 1: VIOLATED (-275.289 ps) Setup Check with Pin Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/clk_r_REG151_S1/CLK->D
               View: AVF_RCWORST
              Group: clk
         Startpoint: (R) Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/mode_reg_reg[0]/CLK
              Clock: (R) clk
           Endpoint: (R) Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/clk_r_REG151_S1/D
              Clock: (R) clk

                         Capture        Launch
         Clock Edge:+  16000.000         0.000
        Src Latency:+   -462.055      -462.055
        Net Latency:+    444.400 (P)   566.300 (P)
            Arrival:=  15982.346       104.245

              Setup:-     21.000
        Uncertainty:-    160.000
      Required Time:=  15801.345
       Launch Clock:=    104.245
          Data Path:+  15972.389
              Slack:=   -275.289

#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Timing Point                                                                                                Flags  Arc     Edge  Cell                     Fanout    Trans     Delay     Arrival  
#                                                                                                                                                                      (ps)      (ps)        (ps)  
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_2s_compliment/add_103/U1_1_11/CO                C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   19.100    49.500    6814.046  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_2s_compliment/add_103/U1_1_12/CO                C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   18.300    52.500    6866.546  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_2s_compliment/add_103/U1_1_13/CO                C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   20.900    53.400    6919.946  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_2s_compliment/add_103/U1_1_14/CO                C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   20.500    51.300    6971.246  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_2s_compliment/add_103/U1_1_15/CO                C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   18.500    49.500    7020.746  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_2s_compliment/add_103/U2/Z                      C1C2  A->Z    F     SC8T_XOR2X0P5_CSC28L          2   22.300    83.400    7104.146  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_2s_compliment/U3/Z                              C1C2  A->Z    F     SC8T_ND2IAX1_MR_CSC28L       15   26.100   170.800    7274.945  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_2s_compliment/U6/Z                              C1C2  B->Z    R     SC8T_ND2IAX1_MR_CSC28L        1  240.300    72.800    7347.745  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U14/Z                                             C1C2  A->Z    F     SC8T_ND2X1_MR_CSC28L          2   56.700    49.700    7397.445  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U15/Z                                             C1C2  A->Z    R     SC8T_INVX1_CSC28L             1   66.500    38.000    7435.445  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_squash/U146/Z                                   C1C2  B1->Z   F     SC8T_AOI22X1_CSC28L           1   23.500    53.200    7488.646  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_squash/U145/Z                                   C1C2  A->Z    R     SC8T_INVX1_CSC28L             2   63.000    47.400    7536.045  
