    Hinst Name                                                                                                    Module Name                                      Inst Count           Total Area
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_47                            register_row_785                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_48                            register_row_784                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_49                            register_row_783                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_5                             register_row_827                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_50                            register_row_782                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_51                            register_row_781                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_52                            register_row_780                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_53                            register_row_779                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_54                            register_row_778                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_55                            register_row_777                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_56                            register_row_776                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_57                            register_row_775                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_58                            register_row_774                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_59                            register_row_773                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_6                             register_row_826                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_60                            register_row_772                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_61                            register_row_771                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_62                            register_row_770                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_63                            register_row_769                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_7                             register_row_825                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_8                             register_row_824                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_9                             register_row_823                                         49               35.277
     Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/ShR_Wr_0                                                   shadowReg_AGU_78                                        209              134.717
     Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/ShR_Wr_1                                                   shadowReg_AGU_77                                        209              134.717
